id,id_objecta,id_spr_etap_rabot,id_otvetstvennogo,id_avtor,data_nachala_rabot,data_okonchaniya_rabot,document_number,srok_dney,comment,status
20071,315012276,69,20,20,2015-04-13,2015-04-13,64,,," ? ??????"
20072,315012278,69,20,20,2015-04-13,2015-04-13,65,,," ? ??????"
20073,315012279,69,20,20,2015-04-13,2015-04-13,66,,," ? ??????"
20074,315012292,69,20,20,2015-04-13,2015-04-13,74,,," ? ??????"
20075,315012302,69,20,20,2015-04-13,2015-04-13,67,,," ? ??????"
20076,315012304,69,20,20,2015-04-13,2015-04-13,68,,," ? ??????"
20077,315012307,69,20,20,2015-04-13,2015-04-13,69,,," ? ??????"
20078,315012323,69,20,20,2015-04-13,2015-04-13,70,,," ? ??????"
20079,315012325,69,20,20,2015-04-13,2015-04-13,71,,," ? ??????"
20080,315012340,69,20,20,2015-04-13,2015-04-13,72,,," ? ??????"
20081,315012349,69,20,20,2015-04-13,2015-04-13,73,,," ? ??????"
20082,315012401,69,20,20,2015-04-13,2015-04-13,79,,," ? ??????"
20083,315012402,70,20,20,2015-04-23,2015-04-16,14027,,," ? ??????"
20084,315012403,70,20,20,2015-04-23,2015-04-16,13971,,," ? ??????"
20085,315012404,70,20,20,2015-04-23,2015-04-16,13980,,," ? ??????"
20086,315012406,70,20,20,2015-04-23,2015-04-16,14025,,," ? ??????"
20087,315012408,70,20,20,2015-04-23,2015-04-16,14023,,," ? ??????"
20088,315012414,70,20,20,2015-04-23,2015-04-15,14677,,," ? ??????"
20089,315012415,70,20,20,2015-04-23,2015-04-15,14074,,," ? ??????"
20090,315012416,70,20,20,2015-04-23,2015-04-15,14080,,," ? ??????"
20091,315012417,70,20,20,2015-04-23,2015-04-16,14081,,," ? ??????"
20092,315012420,70,20,20,2015-04-23,2015-04-16,14063,,," ? ??????"
20093,315012421,70,20,20,2015-04-23,2015-04-16,14064,,," ? ??????"
20094,315012423,70,20,20,2015-04-23,2015-04-16,13969,,," ? ??????"
